service_id,date,exception_type
0,20171210,1
0,20171217,1
1,20171210,1
1,20180114,1
1,20171216,1
1,20171217,1
1,20180113,1
2,20171210,1
2,20171216,1
2,20171217,1
3,20171210,1
3,20180114,1
3,20171216,1
3,20180113,1
4,20171210,1
4,20180114,1
4,20171217,1
5,20180111,1
5,20180410,1
5,20180108,1
5,20180305,1
5,20180621,1
5,20180216,1
5,20180223,1
5,20180412,1
5,20180306,1
5,20180308,1
5,20180417,1
5,20180814,1
5,20180131,1
5,20180427,1
5,20180227,1
5,20171213,1
5,20180429,1
5,20180821,1
5,20180424,1
5,20180126,1
5,20180831,1
5,20180202,1
5,20180116,1
5,20180502,1
5,20180201,1
5,20180215,1
5,20180508,1
5,20180828,1
5,20180119,1
5,20180319,1
5,20180514,1
5,20180906,1
5,20180615,1
5,20180208,1
5,20180517,1
5,20180321,1
5,20180605,1
5,20171220,1
5,20180523,1
5,20180606,1
5,20180115,1
5,20180411,1
5,20180112,1
5,20171229,1
5,20180301,1
5,20180220,1
5,20180413,1
5,20180302,1
5,20180110,1
5,20180529,1
5,20180815,1
5,20180418,1
5,20180618,1
5,20180105,1
5,20180420,1
5,20180314,1
5,20180103,1
5,20180423,1
5,20180425,1
5,20180822,1
5,20180125,1
5,20180130,1
5,20180313,1
5,20180206,1
5,20180816,1
5,20180205,1
5,20180829,1
5,20180118,1
5,20180507,1
5,20180123,1
5,20171221,1
5,20180504,1
5,20180510,1
5,20171218,1
5,20180905,1
5,20180209,1
5,20180612,1
5,20180611,1
5,20180312,1
5,20180212,1
5,20171219,1
5,20180903,1
5,20180607,1
5,20180309,1
5,20180516,1
5,20180320,1
5,20171228,1
5,20180522,1
5,20180409,1
5,20180322,1
5,20180528,1
5,20180109,1
5,20180525,1
5,20180619,1
5,20180222,1
5,20180104,1
5,20180307,1
5,20171222,1
5,20180221,1
5,20180813,1
5,20180416,1
5,20180102,1
5,20180419,1
5,20180315,1
5,20180219,1
5,20180620,1
5,20180129,1
5,20171214,1
5,20171211,1
5,20180228,1
5,20171215,1
5,20180820,1
5,20180426,1
5,20180226,1
5,20180124,1
5,20180122,1
5,20180503,1
5,20180207,1
5,20180817,1
5,20180213,1
5,20180608,1
5,20180827,1
5,20180830,1
5,20180117,1
5,20180907,1
5,20180614,1
5,20180214,1
5,20180904,1
5,20180509,1
5,20180613,1
5,20180323,1
5,20180316,1
5,20180515,1
5,20171212,1
5,20180518,1
5,20180604,1
5,20180524,1
5,20171227,1
6,20180111,1
6,20180410,1
6,20180108,1
6,20180305,1
6,20180216,1
6,20180223,1
6,20180412,1
6,20180306,1
6,20180507,1
6,20180308,1
6,20180417,1
6,20180131,1
6,20180427,1
6,20180227,1
6,20171213,1
6,20180424,1
6,20180126,1
6,20180202,1
6,20180116,1
6,20180502,1
6,20180201,1
6,20180215,1
6,20180508,1
6,20180119,1
6,20180319,1
6,20180514,1
6,20180511,1
6,20180208,1
6,20180517,1
6,20180321,1
6,20171220,1
6,20180115,1
6,20180411,1
6,20180112,1
6,20171229,1
6,20180301,1
6,20180220,1
6,20180413,1
6,20180302,1
6,20180110,1
6,20180418,1
6,20180105,1
6,20180420,1
6,20180314,1
6,20180103,1
6,20180423,1
6,20180425,1
6,20180125,1
6,20180130,1
6,20180313,1
6,20180206,1
6,20180205,1
6,20180430,1
6,20180118,1
6,20171212,1
6,20180123,1
6,20171221,1
6,20180504,1
6,20171218,1
6,20180209,1
6,20180312,1
6,20180212,1
6,20171219,1
6,20171211,1
6,20180516,1
6,20180320,1
6,20171228,1
6,20180409,1
6,20180322,1
6,20180109,1
6,20180222,1
6,20180104,1
6,20180307,1
6,20171222,1
6,20180221,1
6,20180416,1
6,20180102,1
6,20180419,1
6,20180315,1
6,20180219,1
6,20180129,1
6,20171214,1
6,20180309,1
6,20180228,1
6,20171215,1
6,20180426,1
6,20180226,1
6,20180124,1
6,20180122,1
6,20180503,1
6,20180207,1
6,20180213,1
6,20180117,1
6,20180214,1
6,20180509,1
6,20180323,1
6,20180316,1
6,20180515,1
6,20180518,1
6,20171227,1
7,20180111,1
7,20180108,1
7,20180305,1
7,20180216,1
7,20180223,1
7,20180412,1
7,20180306,1
7,20180507,1
7,20180308,1
7,20180417,1
7,20180131,1
7,20180427,1
7,20180227,1
7,20171213,1
7,20180424,1
7,20180126,1
7,20180202,1
7,20180116,1
7,20180502,1
7,20180201,1
7,20180215,1
7,20180508,1
7,20180119,1
7,20180319,1
7,20180514,1
7,20180511,1
7,20180208,1
7,20180517,1
7,20180321,1
7,20171220,1
7,20180115,1
7,20180411,1
7,20180112,1
7,20171229,1
7,20180301,1
7,20180220,1
7,20180413,1
7,20180302,1
7,20180110,1
7,20180418,1
7,20180105,1
7,20180420,1
7,20180314,1
7,20180103,1
7,20180423,1
7,20180425,1
7,20180125,1
7,20180130,1
7,20180313,1
7,20180206,1
7,20180205,1
7,20180430,1
7,20180118,1
7,20171212,1
7,20180123,1
7,20171221,1
7,20180504,1
7,20171218,1
7,20180209,1
7,20180312,1
7,20180212,1
7,20171219,1
7,20171211,1
7,20180516,1
7,20180320,1
7,20171228,1
7,20180322,1
7,20180109,1
7,20180222,1
7,20180104,1
7,20180307,1
7,20171222,1
7,20180221,1
7,20180416,1
7,20180102,1
7,20180419,1
7,20180315,1
7,20180219,1
7,20180129,1
7,20171214,1
7,20180309,1
7,20180228,1
7,20171215,1
7,20180426,1
7,20180226,1
7,20180124,1
7,20180122,1
7,20180503,1
7,20180207,1
7,20180213,1
7,20180117,1
7,20180214,1
7,20180509,1
7,20180323,1
7,20180316,1
7,20180515,1
7,20180518,1
7,20171227,1
8,20180530,1
8,20180111,1
8,20180917,1
8,20180410,1
8,20181121,1
8,20180108,1
8,20181030,1
8,20180928,1
8,20180305,1
8,20180621,1
8,20180216,1
8,20180412,1
8,20180306,1
8,20180507,1
8,20180308,1
8,20180926,1
8,20180417,1
8,20180622,1
8,20180131,1
8,20181203,1
8,20180227,1
8,20181017,1
8,20180315,1
8,20181109,1
8,20181205,1
8,20180126,1
8,20181018,1
8,20180831,1
8,20180202,1
8,20180116,1
8,20180502,1
8,20181206,1
8,20181112,1
8,20180201,1
8,20180215,1
8,20180508,1
8,20181106,1
8,20180828,1
8,20180119,1
8,20180319,1
8,20180514,1
8,20180906,1
8,20180511,1
8,20181105,1
8,20180208,1
8,20180912,1
8,20180517,1
8,20180321,1
8,20180605,1
8,20171220,1
8,20180910,1
8,20180523,1
8,20181101,1
8,20180606,1
8,20180411,1
8,20180921,1
8,20181120,1
8,20171229,1
8,20180301,1
8,20180413,1
8,20180919,1
8,20180302,1
8,20180110,1
